          f e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20
121 137  0  0  0  1 NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
122 139  0  0  0  0  1 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
123 141  0  0  0  0  0  0  0  1 NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
124 142  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
125 143  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
126 144  0  0  0  0  0  0  0  0  0   0   2  NA  NA  NA  NA  NA  NA  NA  NA  NA
127 145  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
128 146  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
129 147  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
130 148  0  0  0  0  0  0  0  1 NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
131 149  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
132 150  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
133 151  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
134 152  0  0  0  0  0  0  0  0  2  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
135 153  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
136 154  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
137 155  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
138 156  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
139 157  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
140 159  0  0  0  0  0  1 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
141 160  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
142 161  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
143 162  0  0  0  0  0  0  0  0  0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
144 163  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
145 164  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
146 167  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   1  NA  NA
147 168  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
148 169  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
149 170  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
150 171  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   1  NA  NA
151 172  0  0  0  0  0  0  2 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
152 173  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
153 174  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
154 175  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
155 176  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
156 177  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
157 178  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
158 179  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
159 180  0  0  0  0  0  0  0  0  2  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
