      f V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20
99  110  1  1  1  1  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
100 111  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
101 112  1  1  1  1  2  2  2  2 0  0  0  0  0  0  0  0  0  0  0  0
102 113  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
103 114  1  1  1  1  2  2  2  2  2   2  0  0  0  0  0  0  0  0  0  0
104 115  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
105 116  1  1  1  1  1 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
106 117  1  2  2  2  2  2  2  2  2   2   3   3   3   3   3   3   3   4  0  0
107 118  1  1  1  2  2  2  2  2  2   2   2   3   3   3   3   3   3   3   3   4
108 119  1  1  1  2  2  2  2  2  2   2   2   2   2   3   3   3   3   3   3   3
109 120  1  1  1  2  2  2  2  2  2   2   2   2   2   3   3   3   3   3   3   3
110 121  1  1  1  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
111 122  1  1  1  1  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
112 123  1  1  1  1  2  2  2  2 0  0  0  0  0  0  0  0  0  0  0  0
113 124  1  1  1  1  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
114 127  1  1  1  2  2  2  2  2  2   2  0  0  0  0  0  0  0  0  0  0
115 129  1  1  2  2  2 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
116 130  1  1  1  2  2  2  2  2  2   2  0  0  0  0  0  0  0  0  0  0
117 132  1  2  2  2  2 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
118 134  1  1  1  2 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
119 135  1  2  2 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
120 136  1  2  2 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
121 137  1  2  2  2 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
122 139  1  2  2  2  2 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
123 141  1  1  2  2  2  2  2  2 0  0  0  0  0  0  0  0  0  0  0  0
124 142  1  1  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
125 143  1  1  1  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
126 144  1  1  2  2  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
127 145  1  2  2  2  2  2  2  2  2   2   3  0  0  0  0  0  0  0  0  0
128 146  1  2  2  2  2  2  2  2  2   2   3  0  0  0  0  0  0  0  0  0
129 147  1  1  1  1  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
130 148  1  1  1  1  2  2  2  2 0  0  0  0  0  0  0  0  0  0  0  0
131 149  1  1  2  2  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
132 150  1  2  2  2  2  2  2  2  3   3   3  0  0  0  0  0  0  0  0  0
133 151  1  2  2  2  2  2  2  2  3   3   3  0  0  0  0  0  0  0  0  0
134 152  1  2  2  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
135 153  1  2  2 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
136 154  1  1  1  1  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
137 155  1  1  2 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
138 156  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
139 157  1  1  1  1  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
140 159  1  1  1  1  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
141 160  1  1  1  1  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
142 161  1  1  1  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
143 162  1  2  2  2  2  2  2  2  3   3  0  0  0  0  0  0  0  0  0  0
144 163  1  1  1  2  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
145 164  1  1  1  2  2  2  2  2  2   2   2   3   3   3   3   3   3   3   3   4
146 167  1  2  2  2  2  2  2  2  3   3   3   3   3   3   3   3   3   4  0  0
